workId,axisId,state,value,confidence,confidenceDecision,evidenceFiles,editionOrScopeLimitation
work-1cf7a0bb5f55e0d69b27,visualSoftness,known,1,0.82,"0.82 claim-level confidence: Pass C resolved 1 versus 2 because hard blacks, sharp facial construction, angular poses, and straight speed lines persist but remain cleaner than rough 0. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-01-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,"Six early chapter-1 pages across racing, baseball, and parking contexts; the motion claim is bounded to the exact baseball pair"
work-1cf7a0bb5f55e0d69b27,motionImpact,known,3,0.87,"0.87 claim-level confidence: Both reviews accept the consecutive baseball windup, delivery, bunt attempt, and endpoint; multiple kinetic cues support motion 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-01-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,"Six early chapter-1 pages across racing, baseball, and parking contexts; the motion claim is bounded to the exact baseball pair"
work-1fc61ddbeb429b4a2c15,artRealism,known,3,0.88,"0.88 claim-level confidence: Blind Pass C fixed 3 before reading Local 3 and Gemini 4; grounded London space, clothing, hands, and anatomy exceed 2, while enlarged eyes and simplified faces prevent 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-emma-salvage.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-emma-salvage-response.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-emma-pass-c-adjudication.md,"Fifteen sequential official standard-volume-1 pages across three contexts; the motion claim is one short doorway collision, not repeated action styling"
work-1fc61ddbeb429b4a2c15,artDensity,known,3,0.91,"0.91 claim-level confidence: Blind Pass C fixed 3: maps, roofs, carriage, hatching, clothing, and rooms repeatedly exceed 2, but open dialogue pages prevent sustained 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-emma-salvage.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-emma-salvage-response.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-emma-pass-c-adjudication.md,"Fifteen sequential official standard-volume-1 pages across three contexts; the motion claim is one short doorway collision, not repeated action styling"
work-1fc61ddbeb429b4a2c15,visualSoftness,known,3,0.87,"0.87 claim-level confidence: Blind Pass C fixed 3: rounded faces, garments, and gentle tone lean soft, while architectural edges, hatching, and black clothing prevent 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-emma-salvage.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-emma-salvage-response.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-emma-pass-c-adjudication.md,"Fifteen sequential official standard-volume-1 pages across three contexts; the motion claim is one short doorway collision, not repeated action styling"
work-1fc61ddbeb429b4a2c15,motionImpact,known,2,0.84,"0.84 claim-level confidence: Targeted original-pixel reinspection found exact p.7-9 approach, door collision, reaction, bruise, and apology; ordinary contact is clear but a single domestic gag keeps confidence below the static axes. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-emma-salvage.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-emma-salvage-response.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-emma-pass-c-adjudication.md,"Fifteen sequential official standard-volume-1 pages across three contexts; the motion claim is one short doorway collision, not repeated action styling"
work-2f39795212f5ad8db155,artRealism,known,3,0.89,"0.89 claim-level confidence: Local and Gemini agree that natural musculature, historical clothing, and wilderness perspective sit between ordinary stylization and full realism at 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-final-remaining-response.txt,Six official chapter-1 pages across three wilderness contexts; later combat choreography was not sampled
work-2f39795212f5ad8db155,artDensity,known,3,0.89,"0.89 claim-level confidence: Both reviews agree that foliage, bark, rock, hatching, and terrain maintain above-balanced density 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-final-remaining-response.txt,Six official chapter-1 pages across three wilderness contexts; later combat choreography was not sampled
work-2f39795212f5ad8db155,visualSoftness,known,2,0.86,"0.86 claim-level confidence: Both reviews agree that firm traditional contours and sharp environmental hatching are balanced by smooth young faces at neutral softness 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-final-remaining-response.txt,Six official chapter-1 pages across three wilderness contexts; later combat choreography was not sampled
work-2f39795212f5ad8db155,motionImpact,unknown,,,"No numeric confidence: Balance tricks, a brief snare gag, and walking do not provide one bounded combat or action sequence; motion closes unknown. The frozen state remains unknown; unknown is not value 0.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-final-remaining-response.txt,Six official chapter-1 pages across three wilderness contexts; later combat choreography was not sampled
work-303d0a9d67a606a817af,artRealism,known,3,0.90,"0.90 claim-level confidence: Local and Gemini agree that adult anatomy, interiors, artworks, and restoration tools repeatedly support realism 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-04-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,"Six official episode-1 pages across appraisal, gallery, and restoration contexts; no action passage was included"
work-303d0a9d67a606a817af,artDensity,known,3,0.90,"0.90 claim-level confidence: Both reviews agree that antiques, studio tools, chemical jars, paintings, and textured clothing sustain density 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-04-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,"Six official episode-1 pages across appraisal, gallery, and restoration contexts; no action passage was included"
work-303d0a9d67a606a817af,visualSoftness,known,1,0.83,"0.83 claim-level confidence: Pass C resolved 1 versus 2 because square jaws, sharp noses, hard suits, and straight contours recur; clean execution keeps the value above rough 0. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-04-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,"Six official episode-1 pages across appraisal, gallery, and restoration contexts; no action passage was included"
work-303d0a9d67a606a817af,motionImpact,unknown,,,"No numeric confidence: Appraisal, transaction, and restoration scenes contain no exact physical action sequence, so motion is unknown. The frozen state remains unknown; unknown is not value 0.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-04-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,"Six official episode-1 pages across appraisal, gallery, and restoration contexts; no action passage was included"
work-440f93a4e60ef906685b,artRealism,known,3,0.87,"0.87 claim-level confidence: Local and Gemini agree that natural adolescent proportions and school perspective lean realistic while expressive shojo faces keep the result at 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-barairo-recheck.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-barairo-recheck-response.txt,"Six pages from a 2009 re-edited volume 2 mapped to the original standard volume-2 episode sequence; story-page equivalence is supported, but edition extras and reproduction differ"
work-440f93a4e60ef906685b,artDensity,known,2,0.86,"0.86 claim-level confidence: Both reviewers agree that clean staging and white space balance selective clothing, hair, locker, and corridor detail at density 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-barairo-recheck.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-barairo-recheck-response.txt,"Six pages from a 2009 re-edited volume 2 mapped to the original standard volume-2 episode sequence; story-page equivalence is supported, but edition extras and reproduction differ"
work-440f93a4e60ef906685b,visualSoftness,known,3,0.88,"0.88 claim-level confidence: Both reviewers agree that fluid curves, delicate hair, lace and sparkle motifs, and smooth tone consistently place softness at 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-barairo-recheck.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-barairo-recheck-response.txt,"Six pages from a 2009 re-edited volume 2 mapped to the original standard volume-2 episode sequence; story-page equivalence is supported, but edition extras and reproduction differ"
work-440f93a4e60ef906685b,motionImpact,unknown,,,No numeric confidence: The six mapped pages contain no contiguous physical action with a verifiable endpoint; motion closes unknown. The frozen state remains unknown; unknown is not value 0.,data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-barairo-recheck.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-barairo-recheck-response.txt,"Six pages from a 2009 re-edited volume 2 mapped to the original standard volume-2 episode sequence; story-page equivalence is supported, but edition extras and reproduction differ"
work-464322afcd10013437b9,artRealism,known,3,0.89,"0.89 claim-level confidence: Local and Gemini agree that adult anatomy, period clothing, village and Edo architecture, and restrained bodies support realism 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-remaining.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-dandadan-papa-ooku-response.txt,"Exact official standard volume-1 reader, six pages across three early historical contexts; no qualifying action pair"
work-464322afcd10013437b9,artDensity,known,3,0.91,"0.91 claim-level confidence: Both reviewers agree that historical environments, patterned garments, crowds, architecture, and narration sustain density 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-remaining.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-dandadan-papa-ooku-response.txt,"Exact official standard volume-1 reader, six pages across three early historical contexts; no qualifying action pair"
work-464322afcd10013437b9,visualSoftness,known,2,0.85,"0.85 claim-level confidence: Both reviewers agree that elegant clean lines are counterbalanced by sharp jaws, hard blacks, and stark tragedy framing, yielding neutral softness 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-remaining.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-dandadan-papa-ooku-response.txt,"Exact official standard volume-1 reader, six pages across three early historical contexts; no qualifying action pair"
work-464322afcd10013437b9,motionImpact,unknown,,,"No numeric confidence: Exposition, arrival, and interview samples contain no bounded action sequence, so motion is unknown. The frozen state remains unknown; unknown is not value 0.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-remaining.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-dandadan-papa-ooku-response.txt,"Exact official standard volume-1 reader, six pages across three early historical contexts; no qualifying action pair"
work-76c038b398f4b28b7748,artRealism,known,2,0.87,"0.87 claim-level confidence: Local and Gemini agree that classic shojo faces and proportions over credible urban settings fit realism 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ceres-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six modern-prologue pages from volume 1; the sampled bridge fall ends before its physical resolution
work-76c038b398f4b28b7748,artDensity,known,2,0.84,"0.84 claim-level confidence: Both reviewers support balanced density across decorative shock fields and clean dialogue pages. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ceres-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six modern-prologue pages from volume 1; the sampled bridge fall ends before its physical resolution
work-76c038b398f4b28b7748,visualSoftness,known,4,0.91,"0.91 claim-level confidence: Both reviewers agree that fine flowing hair, delicate faces, sparkle tone, and soft shading reach softness 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ceres-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six modern-prologue pages from volume 1; the sampled bridge fall ends before its physical resolution
work-76c038b398f4b28b7748,motionImpact,unknown,,,"No numeric confidence: Current-SHA Pass C rejected the earlier known 3: the fall packet omits landing, rescue, or a physical endpoint and memory shards are not an impact endpoint; motion is unknown. The frozen state remains unknown; unknown is not value 0.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ceres-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six modern-prologue pages from volume 1; the sampled bridge fall ends before its physical resolution
work-b4b21d2ebe5b8efc84ea,artRealism,known,3,0.88,"0.88 claim-level confidence: Local and Gemini agree that adult and child anatomy, maritime scale, clinic perspective, and facial variation exceed ordinary stylization while comic distortion prevents 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-dr-coto-salvage.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-dr-coto-salvage-response.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-dr-coto-pass-c-adjudication.md,"Minimum qualified sample of six pages from the official electronic volume-1 opening; publisher identity maps to the paper ISBN, but byte-identical printing is not asserted"
work-b4b21d2ebe5b8efc84ea,artDensity,known,3,0.87,"0.87 claim-level confidence: Local and Gemini agree that sea, coast, boat, clinic, cave, timber, clothing, and facial shading exceed balanced density while open fields prevent 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-dr-coto-salvage.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-dr-coto-salvage-response.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-dr-coto-pass-c-adjudication.md,"Minimum qualified sample of six pages from the official electronic volume-1 opening; publisher identity maps to the paper ISBN, but byte-identical printing is not asserted"
work-b4b21d2ebe5b8efc84ea,visualSoftness,known,1,0.81,"0.81 claim-level confidence: Independent Pass C resolved Local 1 versus Gemini 2 at 1 after original-pixel review: coarse hatching, jagged water and rock, hard blacks, and rough shadows recur, but clean character curves keep it above 0. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-dr-coto-salvage.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-dr-coto-salvage-response.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-dr-coto-pass-c-adjudication.md,"Minimum qualified sample of six pages from the official electronic volume-1 opening; publisher identity maps to the paper ISBN, but byte-identical printing is not asserted"
work-b4b21d2ebe5b8efc84ea,motionImpact,unknown,,,"No numeric confidence: The three disconnected spreads contain travel, illness, and isolated force marks but no one action with start, development, and endpoint; motion closes unknown. The frozen state remains unknown; unknown is not value 0.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-dr-coto-salvage.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-dr-coto-salvage-response.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-dr-coto-pass-c-adjudication.md,"Minimum qualified sample of six pages from the official electronic volume-1 opening; publisher identity maps to the paper ISBN, but byte-identical printing is not asserted"
work-c4abbc1b44fa5706bce3,artRealism,known,2,0.87,"0.87 claim-level confidence: Local and Gemini agree that ordinary stylized faces coexist with credible bodies, period clothing, armor, and architecture at realism 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-03-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six official early pages; motion confidence is limited to one exact practice-sparring sequence rather than sustained battle action
work-c4abbc1b44fa5706bce3,artDensity,known,2,0.86,"0.86 claim-level confidence: Both reviews agree that historical objects and architecture balance clean character fields at density 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-03-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six official early pages; motion confidence is limited to one exact practice-sparring sequence rather than sustained battle action
work-c4abbc1b44fa5706bce3,visualSoftness,known,3,0.86,"0.86 claim-level confidence: Both reviews agree that polished curves and soft tone lean above neutral to softness 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-03-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six official early pages; motion confidence is limited to one exact practice-sparring sequence rather than sustained battle action
work-c4abbc1b44fa5706bce3,motionImpact,known,3,0.83,"0.83 claim-level confidence: Pass C resolved 3 versus 2 from the exact sparring engagement, thrust, displacement, counter, and reaction endpoint; diagonal panels, speed fields, and SFX support above-ordinary 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-03-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six official early pages; motion confidence is limited to one exact practice-sparring sequence rather than sustained battle action
work-ebe399258f28460b8f9b,artRealism,known,3,0.90,"0.90 claim-level confidence: Local and Gemini agree that adult facial bone structure, body proportion, glasses, desks, and streetscape perspective support realism 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-other-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-other-group-01-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,"Six official pages across dinner, staffroom, and classroom contexts; ambient movement is not a qualifying motion sequence"
work-ebe399258f28460b8f9b,artDensity,known,3,0.86,"0.86 claim-level confidence: Both reviewers agree that crosshatching, clothing, food, desks, papers, and classroom detail sustain density 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-other-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-other-group-01-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,"Six official pages across dinner, staffroom, and classroom contexts; ambient movement is not a qualifying motion sequence"
work-ebe399258f28460b8f9b,visualSoftness,known,1,0.90,"0.90 claim-level confidence: Both reviewers agree that sharp hatching, hard black fills, dry textures, and tense scratch lines support softness 1. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-other-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-other-group-01-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,"Six official pages across dinner, staffroom, and classroom contexts; ambient movement is not a qualifying motion sequence"
work-ebe399258f28460b8f9b,motionImpact,unknown,,,"No numeric confidence: Pass C rejected Local 2 because classroom commotion lacks a single action with start, continuous development, and endpoint; motion is unknown. The frozen state remains unknown; unknown is not value 0.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-other-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-other-group-01-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,"Six official pages across dinner, staffroom, and classroom contexts; ambient movement is not a qualifying motion sequence"
work-f391e591282e435a3c1d,artRealism,known,4,0.95,"0.95 claim-level confidence: Local and Gemini agree that photographic hardware, strict anatomy, stubble, clothing, and perspective repeatedly reach realism 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-other-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-other-group-01-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,"Six early pages across hardware, hallway, and studio contexts; no action packet was supplied"
work-f391e591282e435a3c1d,artDensity,known,4,0.95,"0.95 claim-level confidence: Local and Gemini agree that mechanical texture, fabric, and a packed studio interior reach high information density 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-other-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-other-group-01-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,"Six early pages across hardware, hallway, and studio contexts; no action packet was supplied"
work-f391e591282e435a3c1d,visualSoftness,known,0,0.84,"0.84 claim-level confidence: Pass C resolved 0 versus 1 at rough/angular 0 because severe hard edges, dense crosshatching, gritty texture, and contrast dominate all three contexts. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-other-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-other-group-01-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,"Six early pages across hardware, hallway, and studio contexts; no action packet was supplied"
work-f391e591282e435a3c1d,motionImpact,unknown,,,"No numeric confidence: Static hardware, posing, and workspace dialogue do not form a bounded action sequence; motion closes unknown. The frozen state remains unknown; unknown is not value 0.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-other-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-other-group-01-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,"Six early pages across hardware, hallway, and studio contexts; no action packet was supplied"
work-205e576ef057e3aed1ab,artRealism,known,2,0.82,"0.82 claim-level confidence: Pass C resolved Local 3 versus Gemini 2 at 2 because credible school perspective cannot override consistently slender simplified figures and stylized faces. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-01-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six official chapter-1 pages; softness is an independently adjudicated intermediate between Local 2 and Gemini 4
work-205e576ef057e3aed1ab,artDensity,known,2,0.89,"0.89 claim-level confidence: Local and Gemini agree that backgrounds, panel information, and negative space remain balanced at density 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-01-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six official chapter-1 pages; softness is an independently adjudicated intermediate between Local 2 and Gemini 4
work-205e576ef057e3aed1ab,visualSoftness,known,3,0.79,"0.79 claim-level confidence: Pass C rejected both endpoints, placing softness at 3: delicate thin curves persist, while hard uniform blacks and angular male silhouettes prevent 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-01-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six official chapter-1 pages; softness is an independently adjudicated intermediate between Local 2 and Gemini 4
work-205e576ef057e3aed1ab,motionImpact,unknown,,,"No numeric confidence: Walking, conversation, stairs, and standoff pages do not preserve a complete physical action sequence; motion is unknown. The frozen state remains unknown; unknown is not value 0.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-01-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six official chapter-1 pages; softness is an independently adjudicated intermediate between Local 2 and Gemini 4
work-61f2b70ee9f8217b3604,artRealism,known,2,0.90,"0.90 claim-level confidence: Local and Gemini agree that stylized shonen people, realistic animals, and grounded settings fit realism 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-02-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six chapter-1 pages; motion confidence covers one horse-approach sequence and not later farm or sports action
work-61f2b70ee9f8217b3604,artDensity,known,2,0.89,"0.89 claim-level confidence: Both reviews agree that open snow fields and detailed animals, classroom, and props balance at density 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-02-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six chapter-1 pages; motion confidence covers one horse-approach sequence and not later farm or sports action
work-61f2b70ee9f8217b3604,visualSoftness,known,2,0.89,"0.89 claim-level confidence: Both reviews agree that rounded clean ink, gray tones, and bold comedy remain neutral at softness 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-02-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six chapter-1 pages; motion confidence covers one horse-approach sequence and not later farm or sports action
work-61f2b70ee9f8217b3604,motionImpact,known,2,0.83,"0.83 claim-level confidence: Pass C resolved Local 3 to 2: the exact horse charge and stop are clearly bounded, but speed and impact treatment remains ordinary rather than heightened. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-02-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six chapter-1 pages; motion confidence covers one horse-approach sequence and not later farm or sports action
