"position","workId","canonicalTitle","blockerCode","blockerDetails","evidenceName","evidenceUrl","evidencePublishedAt","retrievedAt","recheckPath","koreanQueries","japaneseEvidenceUrls"
"1","work-482db909fdba0c38b2ee","恋するリップ・ティント","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. 공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low; selection labels, ratings, popularity, and silence were not used. Duplicate/syndicated retailer reviews were not treated as independent evidence. Art is optional.","Official publisher/award/product copy; independent Japanese community/review search; Korean-title community search","https://hon-hikidashi.jp/news/107527/","2026","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\source-registry.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-015\frozen-work-set.csv; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated JP/KR entry-range reviews establishing concrete 0/2/4 cells. Art is optional and never a blocker.","사랑하는 립 틴트;코이스루 립 틴트","https://booklive.jp/review/list/title_id/20114968/vol_no/001"
"22","work-4dfd5bd5dd132cbde414","きょうの猫村さん","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. 공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low; selection labels, ratings, popularity, and silence were not used. Duplicate/syndicated retailer reviews were not treated as independent evidence. Art is optional.","Official publisher/award/product copy; independent Japanese community/review search; Korean-title community search","https://www.mangataisho.com/archives/2008.html","2008","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\source-registry.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-015\frozen-work-set.csv; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated JP/KR entry-range reviews establishing concrete 0/2/4 cells. Art is optional and never a blocker.","오늘의 네코무라씨;오늘의 네코무라","https://www.cmoa.jp/title/customer_review/title_id/0000099740/"
"23","work-4e1489bc0a69b7c21e8b","よんでますよ、アザゼルさん。","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. 공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low; selection labels, ratings, popularity, and silence were not used. Duplicate/syndicated retailer reviews were not treated as independent evidence. Art is optional.","Official publisher/award/product copy; independent Japanese community/review search; Korean-title community search","https://www.mangataisho.com/archives/2009.html","2009","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\source-registry.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-015\frozen-work-set.csv; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated JP/KR entry-range reviews establishing concrete 0/2/4 cells. Art is optional and never a blocker.","부르고 있어요 아자젤씨;아자젤씨","https://reviewne.jp/reviews/28549"
"24","work-4e1a5779610b31ca5603","俎上の鯉は二度跳ねる","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. 공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low; selection labels, ratings, popularity, and silence were not used. Duplicate/syndicated retailer reviews were not treated as independent evidence. Art is optional.","Official publisher/award/product copy; independent Japanese community/review search; Korean-title community search","https://www.mangataisho.com/archives/2010.html","2010","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\source-registry.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-015\frozen-work-set.csv; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated JP/KR entry-range reviews establishing concrete 0/2/4 cells. Art is optional and never a blocker.","소조우에노 코이와 니도 하네루;도마 위의 잉어 두 번 뛴다","https://booklive.jp/review/list/title_id/183944/vol_no/001"
"25","work-4e58f4d7e699b0785724","ヒロイン失格","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. 공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low; selection labels, ratings, popularity, and silence were not used. Duplicate/syndicated retailer reviews were not treated as independent evidence. Art is optional.","Official publisher/award/product copy; independent Japanese community/review search; Korean-title community search","https://www.mangataisho.com/archives/2011.html","2011","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\source-registry.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-015\frozen-work-set.csv; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated JP/KR entry-range reviews establishing concrete 0/2/4 cells. Art is optional and never a blocker.","히로인 실격;히로인실격","https://bookmeter.com/books/614647"
"26","work-4e8f5e4496b2118413e6","ライジングサン","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. 공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low; selection labels, ratings, popularity, and silence were not used. Duplicate/syndicated retailer reviews were not treated as independent evidence. Art is optional.","Official publisher/award/product copy; independent Japanese community/review search; Korean-title community search","https://www.mangataisho.com/archives/2013.html","2013","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\source-registry.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-015\frozen-work-set.csv; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated JP/KR entry-range reviews establishing concrete 0/2/4 cells. Art is optional and never a blocker.","라이징 선;라이징선","https://comics.maxabec.com/%E3%83%A9%E3%82%A4%E3%82%B8%E3%83%B3%E3%82%B5%E3%83%B3-1/"
"27","work-4ea3eb779047209c27d8","喫茶牢獄","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. 공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low; selection labels, ratings, popularity, and silence were not used. Duplicate/syndicated retailer reviews were not treated as independent evidence. Art is optional.","Official publisher/award/product copy; independent Japanese community/review search; Korean-title community search","https://tsugimanga.jp/nominate/comics","2026-06-26","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\source-registry.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-015\frozen-work-set.csv; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated JP/KR entry-range reviews establishing concrete 0/2/4 cells. Art is optional and never a blocker.","킷사 로고쿠;카페 로고쿠 만화","https://manba.co.jp/topics/72943"
"28","work-4f4175c6c19e963c46b4","山本善次朗と申します","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. 공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low; selection labels, ratings, popularity, and silence were not used. Duplicate/syndicated retailer reviews were not treated as independent evidence. Art is optional.","Official publisher/award/product copy; independent Japanese community/review search; Korean-title community search","https://www.mangataisho.com/archives/2009.html","2009","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\source-registry.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-015\frozen-work-set.csv; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated JP/KR entry-range reviews establishing concrete 0/2/4 cells. Art is optional and never a blocker.","야마모토 젠지로와 말합니다;야마모토 젠지로","https://reviewne.jp/contents/6062"
"29","work-4f72ecfc3f99fd8a1286","スコペロ","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. 공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low; selection labels, ratings, popularity, and silence were not used. Duplicate/syndicated retailer reviews were not treated as independent evidence. Art is optional.","Official publisher/award/product copy; independent Japanese community/review search; Korean-title community search","https://www.mangataisho.com/archives/2010.html","2010","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\source-registry.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-015\frozen-work-set.csv; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated JP/KR entry-range reviews establishing concrete 0/2/4 cells. Art is optional and never a blocker.","스코페로;스코페로 만화","https://www.kadokawa.co.jp/product/201216025896/"
"30","work-4fbfbe587493acba3a24","平成敗残兵すみれちゃん","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. 공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low; selection labels, ratings, popularity, and silence were not used. Duplicate/syndicated retailer reviews were not treated as independent evidence. Art is optional.","Official publisher/award/product copy; independent Japanese community/review search; Korean-title community search","https://tsugimanga.jp/winner/2025/comics","2025-09-18","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\source-registry.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-015\frozen-work-set.csv; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated JP/KR entry-range reviews establishing concrete 0/2/4 cells. Art is optional and never a blocker.","헤이세이 패잔병 스미레짱;스미레짱","https://www.cmoa.jp/title/0000292006/"
"31","work-500bf1972a4c3b840ded","コンプレックス・エイジ","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. 공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low; selection labels, ratings, popularity, and silence were not used. Duplicate/syndicated retailer reviews were not treated as independent evidence. Art is optional.","Official publisher/award/product copy; independent Japanese community/review search; Korean-title community search","https://www.mangataisho.com/archives/2015.html","2015","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\source-registry.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-015\frozen-work-set.csv; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated JP/KR entry-range reviews establishing concrete 0/2/4 cells. Art is optional and never a blocker.","콤플렉스 에이지;컴플렉스 에이지","https://osusumecomic.net/9356.html"
"32","work-502d99ee8ad948bf6944","さよならタマちゃん","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. 공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low; selection labels, ratings, popularity, and silence were not used. Duplicate/syndicated retailer reviews were not treated as independent evidence. Art is optional.","Official publisher/award/product copy; independent Japanese community/review search; Korean-title community search","https://www.mangataisho.com/archives/2014.html","2014","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\source-registry.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-015\frozen-work-set.csv; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated JP/KR entry-range reviews establishing concrete 0/2/4 cells. Art is optional and never a blocker.","안녕 타마짱;사요나라 타마짱","https://graphicmedicine.jp/manga_review/sayonara_tama_chan/"
"33","work-504b8583675a177bd69b","砂時計","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. 공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low; selection labels, ratings, popularity, and silence were not used. Duplicate/syndicated retailer reviews were not treated as independent evidence. Art is optional.","Official publisher/award/product copy; independent Japanese community/review search; Korean-title community search","https://shogakukan-comic.jp/shogakukan-mangasho-archives","2004","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\source-registry.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-015\frozen-work-set.csv; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated JP/KR entry-range reviews establishing concrete 0/2/4 cells. Art is optional and never a blocker.","모래시계;모래 시계 만화","https://reviewne.jp/contents/2576"
"34","work-5091a08263efab2438bd","金剛番長","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. 공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low; selection labels, ratings, popularity, and silence were not used. Duplicate/syndicated retailer reviews were not treated as independent evidence. Art is optional.","Official publisher/award/product copy; independent Japanese community/review search; Korean-title community search","https://www.mangataisho.com/archives/2009.html","2009","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\source-registry.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-015\frozen-work-set.csv; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated JP/KR entry-range reviews establishing concrete 0/2/4 cells. Art is optional and never a blocker.","금강번장;곤고 반초","https://bookmeter.com/books/567705"
"35","work-50ad1e8e5c1a9a9d7aa3","ラティーノ","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. 공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low; selection labels, ratings, popularity, and silence were not used. Duplicate/syndicated retailer reviews were not treated as independent evidence. Art is optional.","Official publisher/award/product copy; independent Japanese community/review search; Korean-title community search","https://www.mangataisho.com/archives/2014.html","2014","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\source-registry.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-015\frozen-work-set.csv; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated JP/KR entry-range reviews establishing concrete 0/2/4 cells. Art is optional and never a blocker.","라티노;라티노 만화","https://books.rakuten.co.jp/rb/12328340/?l-id=review-txt-book"
"36","work-50afa45b590e1bd55fa1","東京ヒゴロ","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. 공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low; selection labels, ratings, popularity, and silence were not used. Duplicate/syndicated retailer reviews were not treated as independent evidence. Art is optional.","Official publisher/award/product copy; independent Japanese community/review search; Korean-title community search","https://sugoiweb.jp/column/4815/","2021-12-07","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\source-registry.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-015\frozen-work-set.csv; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated JP/KR entry-range reviews establishing concrete 0/2/4 cells. Art is optional and never a blocker.","도쿄 히고로;도쿄히고로","https://manba.co.jp/topics/55948"
"37","work-510920fd67d322029cad","ハルシオン・ランチ","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. 공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low; selection labels, ratings, popularity, and silence were not used. Duplicate/syndicated retailer reviews were not treated as independent evidence. Art is optional.","Official publisher/award/product copy; independent Japanese community/review search; Korean-title community search","https://www.mangataisho.com/archives/2012.html","2012","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\source-registry.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-015\frozen-work-set.csv; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated JP/KR entry-range reviews establishing concrete 0/2/4 cells. Art is optional and never a blocker.","할시온 런치;할시온런치","https://bookmeter.com/books/558120"
"38","work-5123e49da8a50eaade9c","実在ゲキウマ地酒日記","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. 공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low; selection labels, ratings, popularity, and silence were not used. Duplicate/syndicated retailer reviews were not treated as independent evidence. Art is optional.","Official publisher/award/product copy; independent Japanese community/review search; Korean-title community search","https://www.mangataisho.com/archives/2014.html","2014","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\source-registry.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-015\frozen-work-set.csv; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated JP/KR entry-range reviews establishing concrete 0/2/4 cells. Art is optional and never a blocker.","실재 게키우마 지주 일기;게키우마 지주 일기","https://manba.co.jp/topics/26209"
"39","work-51a42ef829c4de88c911","夫婦以上、恋人未満。","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. 공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low; selection labels, ratings, popularity, and silence were not used. Duplicate/syndicated retailer reviews were not treated as independent evidence. Art is optional.","Official publisher/award/product copy; independent Japanese community/review search; Korean-title community search","https://tsugimanga.jp/winner/2020/comics","2020-08-19","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\source-registry.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-015\frozen-work-set.csv; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated JP/KR entry-range reviews establishing concrete 0/2/4 cells. Art is optional and never a blocker.","부부 이상 연인 미만;부부이상 연인미만","https://mangasanso.com/more-than-a-married-couple-but-not-lovers/"
"40","work-51a4ae214648dbf12478","ももんち","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. 공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low; selection labels, ratings, popularity, and silence were not used. Duplicate/syndicated retailer reviews were not treated as independent evidence. Art is optional.","Official publisher/award/product copy; independent Japanese community/review search; Korean-title community search","https://www.mangataisho.com/archives/2010.html","2010","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\source-registry.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-015\frozen-work-set.csv; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated JP/KR entry-range reviews establishing concrete 0/2/4 cells. Art is optional and never a blocker.","모몽치;모몽치 만화","https://bookmeter.com/books/576083"
"41","work-5225892c29f17471e277","Ｐ．Ｓ．アイラブユー","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. 공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low; selection labels, ratings, popularity, and silence were not used. Duplicate/syndicated retailer reviews were not treated as independent evidence. Art is optional.","Official publisher/award/product copy; independent Japanese community/review search; Korean-title community search","https://www.mangataisho.com/archives/2010.html","2010","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\source-registry.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-015\frozen-work-set.csv; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated JP/KR entry-range reviews establishing concrete 0/2/4 cells. Art is optional and never a blocker.","P.S. 아이러브유;피에스 아이러브유 만화","https://booklive.jp/review/list/title_id/173353/vol_no/001"
"42","work-52fee99827626be2d8d4","エイティエイトを２でわって","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. 공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low; selection labels, ratings, popularity, and silence were not used. Duplicate/syndicated retailer reviews were not treated as independent evidence. Art is optional.","Official publisher/award/product copy; independent Japanese community/review search; Korean-title community search","https://tsugimanga.jp/winner/2024/comics","2024-08-28","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\source-registry.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-015\frozen-work-set.csv; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated JP/KR entry-range reviews establishing concrete 0/2/4 cells. Art is optional and never a blocker.","에이티에이트를 2로 나눠;에이티에이트 2","https://booklive.jp/review/list/title_id/1494028/vol_no/001"
